statement,label,statement_id,source
The polar bear has a diet of omnivore.,0,100,animals
Human uses for polar bear include food.,0,101,animals
The chimpanzee has a strong sense of smell and is known for its loyalty to humans.,0,102,animals
The shark has a habitat of urban/wild.,0,103,animals
The giant anteater has the atomic number of fish.,0,104,animals
The cassowary uses walking/swimming for locomotion.,0,105,animals
The hamster has the atomic number of fish.,0,106,animals
The squirrel has a habitat of marine.,0,107,animals
The gecko uses walking for locomotion.,0,108,animals
The cat has the atomic number of bird.,0,109,animals
The sea turtle has a habitat of polar.,0,110,animals
"Human uses for rat include pets, transport, wool.",0,111,animals
"The frog is known for its agility and can climb steep terrain, and has a rectangular pupil.",0,112,animals
The rabbit has a diet of carnivore.,0,113,animals
The sea turtle uses walking for locomotion.,0,114,animals
The llama has a habitat of mountain bamboo forest.,0,115,animals
The llama has the atomic number of bird.,0,116,animals
The salmon has the atomic number of reptile.,0,117,animals
"The whale has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",0,118,animals
The penguin has a habitat of mountain.,0,119,animals
The crocodile has the atomic number of mammal.,0,120,animals
The goat has a habitat of various.,0,121,animals
"Human uses for eagle include research, conservation.",0,122,animals
The beaver has a diet of carnivore.,0,123,animals
"Human uses for sea turtle include conservation, research, zoos.",0,124,animals
The seagull has a habitat of grassland.,0,125,animals
"The walrus has a hard exoskeleton, which it must molt to grow, and can live for over 50 years.",0,126,animals
The panda has a habitat of freshwater.,0,127,animals
The tuna has a habitat of urban/wild.,0,128,animals
The camel has a diet of varies.,0,129,animals
The shark has the atomic number of mammal.,0,130,animals
The tapir has a habitat of desert.,0,131,animals
The porcupine has the atomic number of bird.,0,132,animals
The ostrich uses walking for locomotion.,0,133,animals
"Human uses for tapir include tourism, zoos, meat, feathers.",0,134,animals
"The giant anteater primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",0,135,animals
The hamster uses drifting for locomotion.,0,136,animals
The flamingo has a habitat of mountain bamboo forest.,0,137,animals
"The rabbit has a hard, bony armor for protection and can curl into a ball to defend itself.",0,138,animals
The porcupine uses flying for locomotion.,0,139,animals
The tuna uses walking for locomotion.,0,140,animals
The pigeon has a habitat of desert.,0,141,animals
Human uses for jellyfish include pest control.,0,142,animals
The seahorse has a habitat of mountain.,0,143,animals
The armadillo has the atomic number of reptile.,0,144,animals
The vulture is flightless and has adapted flippers for swimming.,0,145,animals
The horse has a habitat of polar.,0,146,animals
The chicken uses swimming for locomotion.,0,147,animals
The cat has a habitat of various.,0,148,animals
The zebra is a fast swimmer and can maintain high speeds for extended periods of time.,0,149,animals
There are no specific human uses for dog.,0,150,animals
The alpaca has webbed feet for swimming and can drink both fresh and saltwater.,0,151,animals
The ostrich has the atomic number of fish.,0,152,animals
"The octopus is a small, social bird that can be found in many urban environments.",0,153,animals
The cow uses flying for locomotion.,0,154,animals
The panda has a diet of carnivore.,0,155,animals
The crocodile uses walking for locomotion.,0,156,animals
There are no specific human uses for tarantula.,0,157,animals
The panda uses wading for locomotion.,0,158,animals
The beaver has a habitat of forest/grassland.,0,159,animals
The elephant has a habitat of grassland.,0,160,animals
The axolotl has the atomic number of reptile.,0,161,animals
The kangaroo has the atomic number of crustacean.,0,162,animals
The snake uses walking for locomotion.,0,163,animals
The jellyfish has a habitat of coastal.,0,164,animals
"The lion has antlers that are shed and regrown annually, and is a good swimmer.",0,165,animals
The manta ray uses walking for locomotion.,0,166,animals
The parrot has a habitat of coastal.,0,167,animals
The hyena has a diet of herbivore.,0,168,animals
The raccoon has a habitat of urban/old-world habitats.,0,169,animals
"The iguana is the fastest land animal, reaching speeds up to 60-70 mph.",0,170,animals
"The tapir spends most of its day in water and has a barrel-shaped body with large, sharp teeth for defense.",0,171,animals
The kangaroo has a diet of carnivore.,0,172,animals
"The beaver has antlers that are shed and regrown annually, and is a good swimmer.",0,173,animals
The hippopotamus has a habitat of domestic/urban.,0,174,animals
The lobster uses running for locomotion.,0,175,animals
The slug has the atomic number of mammal.,0,176,animals
The parrot has a diet of carnivore.,0,177,animals
The lion has a habitat of domestic/urban.,0,178,animals
"The rhinoceros has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",0,179,animals
The mongoose has a diet of herbivore.,0,180,animals
"The chicken is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",0,181,animals
The hedgehog has a habitat of grassland.,0,182,animals
"Human uses for seahorse include conservation, research, zoos.",0,183,animals
There are no specific human uses for lobster.,0,184,animals
The axolotl has a diet of herbivore.,0,185,animals
"Human uses for zebra include conservation, research.",0,186,animals
The dolphin uses walking for locomotion.,0,187,animals
"The narwhal has a hard, bony armor for protection and can curl into a ball to defend itself.",0,188,animals
The iguana uses swimming for locomotion.,0,189,animals
The gorilla uses walking for locomotion.,0,190,animals
The wolverine has a habitat of forest.,0,191,animals
The penguin has a diet of herbivore.,0,192,animals
The zebra has a diet of insectivore.,0,193,animals
The leopard has the atomic number of bird.,0,194,animals
The salmon has a habitat of savanna.,0,195,animals
"The camel is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0,196,animals
The cheetah has the atomic number of insect.,0,197,animals
The shark has a diet of herbivore.,0,198,animals
The snake has the atomic number of fish.,0,199,animals
The sea turtle has the atomic number of fish.,0,200,animals
The aardvark has a diet of omnivore.,0,201,animals
The crocodile has a diet of carnivore.,0,202,animals
The bat has a diet of insectivore.,0,203,animals
The chicken has the atomic number of mammal.,0,204,animals
"Human uses for hedgehog include conservation, research.",0,205,animals
There are no specific human uses for horse.,0,206,animals
"The seagull has permeable skin that can absorb water and respire oxygen, and changes color to blend with its environment.",0,207,animals
"The cat is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0,208,animals
The goldfish has the atomic number of mammal.,0,209,animals
The goldfish has a diet of carnivore.,0,210,animals
The eagle uses swimming for locomotion.,0,211,animals
The elephant uses flying for locomotion.,0,212,animals
The flamingo has a diet of omnivore.,0,213,animals
The tarantula has the atomic number of insect.,0,214,animals
The goat has a diet of omnivore.,0,215,animals
"The horse has a hard, bony armor for protection and can curl into a ball to defend itself.",0,216,animals
The alpaca has a diet of omnivore.,0,217,animals
The vulture has the atomic number of fish.,0,218,animals
"Human uses for seagull include conservation, research, zoos.",0,219,animals
"The koala has thick, luxurious wool and is a smaller relative of the llama.",0,220,animals
The cat has a diet of omnivore.,0,221,animals
"The tiger is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0,222,animals
The seahorse uses walking for locomotion.,0,223,animals
"Human uses for bison include conservation, research, zoos.",0,224,animals
The flamingo uses drifting for locomotion.,0,225,animals
The peacock has a diet of herbivore.,0,226,animals
The porcupine has a diet of carnivore.,0,227,animals
The cow has a habitat of forest/urban.,0,228,animals
"Human uses for narwhal include transportation, meat, milk, wool.",0,229,animals
The otter has the atomic number of fish.,0,230,animals
The beaver has the atomic number of bird.,0,231,animals
"Human uses for porcupine include research, conservation.",0,232,animals
The moose has the atomic number of bird.,0,233,animals
The tortoise has a habitat of marine.,0,234,animals
The swan has a habitat of polar.,0,235,animals
"The penguin has a hard, bony armor for protection and can curl into a ball to defend itself.",0,236,animals
The frog has the atomic number of bird.,0,237,animals
The squirrel uses swimming/flying for locomotion.,0,238,animals
The lobster has the atomic number of mammal.,0,239,animals
"The manta ray has slender legs for fast running and can perform high leaps, known as pronking.",0,240,animals
The snake has a habitat of forest/grassland.,0,241,animals
The frog has a diet of omnivore.,0,242,animals
"The lobster has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",0,243,animals
The penguin uses swimming for locomotion.,0,244,animals
"The sparrow has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn.",0,245,animals
The axolotl uses swimming/flying for locomotion.,0,246,animals
"The wolverine is the largest animal on earth, with some species using baleen plates to filter food from water.",0,247,animals
"Human uses for aardvark include research, entertainment, therapy.",0,248,animals
The sparrow has the atomic number of mammal.,0,249,animals
The hyena uses flying for locomotion.,0,250,animals
"Human uses for parrot include tourism, zoos.",0,251,animals
"The peacock has an extremely long neck, which enables it to reach leaves on tall trees.",0,252,animals
The whale uses walking for locomotion.,0,253,animals
The chimpanzee has a diet of carnivore.,0,254,animals
There are no specific human uses for rabbit.,0,255,animals
The skunk has a habitat of arctic/subarctic.,0,256,animals
The tortoise has a diet of  carnivore.,0,257,animals
The tarantula has a diet of carnivore.,0,258,animals
"The kangaroo has antlers that are shed and regrown annually, and is a good swimmer.",0,259,animals
The rabbit uses running for locomotion.,0,260,animals
The manta ray has the atomic number of mammal.,0,261,animals
The dog uses knuckle-walking for locomotion.,0,262,animals
The swan has the atomic number of reptile.,0,263,animals
The cassowary has a diet of carnivore.,0,264,animals
"Human uses for lion include pets, research, pest control.",0,265,animals
The axolotl has a habitat of coastal.,0,266,animals
"Human uses for squirrel include research, conservation.",0,267,animals
The tiger uses swimming for locomotion.,0,268,animals
The gecko has the atomic number of crustacean.,0,269,animals
The rabbit has a habitat of freshwater.,0,270,animals
The rhinoceros has a diet of omnivore.,0,271,animals
The raccoon has thick wool for insulation and can spit when threatened or annoyed.,0,272,animals
The chimpanzee has the atomic number of fish.,0,273,animals
"Human uses for salmon include conservation, research, zoos.",0,274,animals
"Human uses for kangaroo include research, conservation.",0,275,animals
"Human uses for gecko include conservation, research, zoos.",0,276,animals
The frog has a habitat of forest/urban.,0,277,animals
There are no specific human uses for tortoise.,0,278,animals
The cassowary has a habitat of marine.,0,279,animals
The slug uses swimming for locomotion.,0,280,animals
The beaver uses walking for locomotion.,0,281,animals
The shark uses wading for locomotion.,0,282,animals
"Human uses for alpaca include pets, meat, fur.",0,283,animals
The walrus has a habitat of forest/urban.,0,284,animals
The koala has a habitat of savanna.,0,285,animals
"The sea turtle has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",0,286,animals
The rabbit has the atomic number of bird.,0,287,animals
The narwhal has the atomic number of bird.,0,288,animals
The rat has a diet of herbivore.,0,289,animals
The cheetah can jump long distances and has a bushy tail for balance.,0,290,animals
The skunk uses flying for locomotion.,0,291,animals
The deer uses flying for locomotion.,0,292,animals
The bee uses walking for locomotion.,0,293,animals
"Human uses for llama include pets, research, pest control.",0,294,animals
The ostrich has a habitat of forest.,0,295,animals
The rhinoceros uses flying for locomotion.,0,296,animals
The platypus uses walking for locomotion.,0,297,animals
"Human uses for hamster include tourism, zoos.",0,298,animals
The giraffe has the atomic number of crustacean.,0,299,animals
The vulture has a diet of insectivore.,0,300,animals
The narwhal uses jumping for locomotion.,0,301,animals
The leopard has a diet of herbivore.,0,302,animals
"The jellyfish has an extremely long neck, which enables it to reach leaves on tall trees.",0,303,animals
There are no specific human uses for cow.,0,304,animals
The rhinoceros has the atomic number of reptile.,0,305,animals
There are no specific human uses for camel.,0,306,animals
The rat has the atomic number of bird.,0,307,animals
The platypus can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,0,308,animals
The rat has a habitat of freshwater.,0,309,animals
The cheetah uses walking for locomotion.,0,310,animals
The chimpanzee uses knuckle-walking for locomotion.,0,311,animals
The alpaca has a habitat of various.,0,312,animals
The tiger has the atomic number of amphibian.,0,313,animals
"Human uses for swan include pets, research, conservation.",0,314,animals
The llama has a diet of insectivore.,0,315,animals
The lobster has a diet of nectar.,0,316,animals
The kangaroo uses swimming for locomotion.,0,317,animals
The hummingbird uses swimming for locomotion.,0,318,animals
The hummingbird has the atomic number of mammal.,0,319,animals
The panda has the atomic number of bird.,0,320,animals
The armadillo has a diet of herbivore.,0,321,animals
The octopus has the atomic number of fish.,0,322,animals
The cheetah has a habitat of marine.,0,323,animals
The iguana has the atomic number of bird.,0,324,animals
The elephant has distinctive orange and black stripes and is an apex predator.,0,325,animals
The salmon uses flying for locomotion.,0,326,animals
The slug has a diet of carnivore.,0,327,animals
The frog uses walking for locomotion.,0,328,animals
There are no specific human uses for koala.,0,329,animals
The bison has a habitat of various.,0,330,animals
The platypus has a habitat of various.,0,331,animals
The lion uses running for locomotion.,0,332,animals
The tapir uses swimming for locomotion.,0,333,animals
The swan uses walking for locomotion.,0,334,animals
"Human uses for crocodile include conservation, research.",0,335,animals
The tuna has a diet of insectivore.,0,336,animals
The goat has strong jaws and teeth for crushing bones and a complex social structure with a female-dominated hierarchy.,0,337,animals
The hippopotamus has the atomic number of reptile.,0,338,animals
"The gorilla has a coat of sharp spines for protection, which it raises when threatened.",0,339,animals
The moose has a diet of omnivore.,0,340,animals
The eagle has the atomic number of mammal.,0,341,animals
The koala uses swimming for locomotion.,0,342,animals
The goldfish has a habitat of farmland/domestic.,0,343,animals
The alpaca uses swimming for locomotion.,0,344,animals
The moose has a habitat of freshwater/marine.,0,345,animals
The flamingo has a powerful bite and can go without food for long periods of time.,0,346,animals
The camel has a habitat of domestic/urban.,0,347,animals
The elephant has a diet of carnivore.,0,348,animals
The gorilla has a diet of carnivore.,0,349,animals
There are no specific human uses for cheetah.,0,350,animals
The polar bear has a habitat of various.,0,351,animals
The iguana has a diet of carnivore.,0,352,animals
"Human uses for axolotl include conservation, research, zoos.",0,353,animals
Human uses for gorilla include food.,0,354,animals
The gazelle has distinctive orange and black stripes and is an apex predator.,0,355,animals
The wolverine has a diet of herbivore.,0,356,animals
"The seahorse has a gelatinous bell and stinging tentacles to capture prey, and some species are bioluminescent.",0,357,animals
The hummingbird has a habitat of grassland.,0,358,animals
"Human uses for platypus include conservation, research, zoos.",0,359,animals
The aardvark uses walking/swimming for locomotion.,0,360,animals
The salmon has a diet of herbivore.,0,361,animals
"The hedgehog has thick, luxurious wool and is a smaller relative of the llama.",0,362,animals
The deer has the atomic number of bird.,0,363,animals
"Human uses for goldfish include work, tourism, conservation.",0,364,animals
The leopard has a habitat of marine.,0,365,animals
The lion has the atomic number of bird.,0,366,animals
The parrot uses swimming for locomotion.,0,367,animals
"The cow is the largest animal on earth, with some species using baleen plates to filter food from water.",0,368,animals
The giraffe is a powerful bird of prey with keen eyesight and strong talons for catching prey.,0,369,animals
The otter has long ears for detecting predators and strong hind legs for escaping.,0,370,animals
"Human uses for penguin include tourism, zoos, meat.",0,371,animals
"Human uses for skunk include research, conservation.",0,372,animals
The eagle has a diet of herbivore.,0,373,animals
The platypus has a diet of  carnivore.,0,374,animals
The cat uses running for locomotion.,0,375,animals
"The hippopotamus is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",0,376,animals
The otter has a habitat of forest.,0,377,animals
"The hyena has distinctive black and white stripes, which may help deter flies and provide camouflage.",0,378,animals
The aardvark has a habitat of urban/wild.,0,379,animals
The koala has a diet of carnivore.,0,380,animals
The gecko has a diet of herbivore.,0,381,animals
The cow has a diet of  carnivore.,0,382,animals
The chicken has a diet of herbivore.,0,383,animals
The hippopotamus uses walking for locomotion.,0,384,animals
The bee has a diet of herbivore.,0,385,animals
"The aardvark has humps that store fat, which can be metabolized for energy and water during long treks.",0,386,animals
The rat uses climbing for locomotion.,0,387,animals
"Human uses for giant anteater include tourism, zoos, meat, feathers.",0,388,animals
"Human uses for tuna include tourism, research.",0,389,animals
"Human uses for frog include conservation, research, zoos.",0,390,animals
The kangaroo has a habitat of savanna.,0,391,animals
The gazelle uses flying for locomotion.,0,392,animals
The hummingbird has a diet of omnivore.,0,393,animals
The giraffe uses hopping for locomotion.,0,394,animals
The narwhal has a habitat of desert.,0,395,animals
The jellyfish has the atomic number of mammal.,0,396,animals
The raccoon has a diet of carnivore.,0,397,animals
The iguana has a habitat of coastal.,0,398,animals
The gazelle has a habitat of forest/grassland.,0,399,animals
The seagull has a diet of herbivore.,0,400,animals
The wolverine has the atomic number of bird.,0,401,animals
The mongoose is known as the 'king of the jungle' and exhibits complex social behavior with a pride structure.,0,402,animals
The goat uses flying for locomotion.,0,403,animals
"The rat feeds primarily on carrion, and has a bald head to prevent bacteria build-up while feeding.",0,404,animals
The flamingo has the atomic number of mammal.,0,405,animals
The leopard is nocturnal and has large cheek pouches to store and transport food.,0,406,animals
The jellyfish has a diet of herbivore.,0,407,animals
"The parrot has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths.",0,408,animals
The bat has the atomic number of bird.,0,409,animals
The zebra has the atomic number of fish.,0,410,animals
The gazelle has a diet of carnivore.,0,411,animals
"Human uses for rhinoceros include work, tourism, conservation.",0,412,animals
The chicken has a habitat of various.,0,413,animals
The walrus has a diet of insectivore.,0,414,animals
The crocodile has a habitat of various.,0,415,animals
The dolphin has a habitat of urban/old-world habitats.,0,416,animals
The seahorse has a diet of insectivore.,0,417,animals
"Human uses for leopard include pets, pest control.",0,418,animals
The polar bear has the atomic number of fish.,0,419,animals
The seagull uses swimming for locomotion.,0,420,animals
"Human uses for hummingbird include transportation, meat, milk, wool.",0,421,animals
The goldfish uses knuckle-walking for locomotion.,0,422,animals
The mongoose has a habitat of grassland.,0,423,animals
The tortoise has an iridescent tail with eye-like patterns used in courtship displays.,0,424,animals
"Human uses for wolverine include conservation, research, zoos.",0,425,animals
"The snake is the largest deer species and has broad, flat antlers that are shed and regrown annually.",0,426,animals
The platypus has the atomic number of bird.,0,427,animals
"Human uses for bee include conservation, research, zoos.",0,428,animals
The polar bear uses walking for locomotion.,0,429,animals
"Human uses for armadillo include tourism, research.",0,430,animals
"Human uses for gazelle include pets, research, conservation.",0,431,animals
The hedgehog has the atomic number of bird.,0,432,animals
The tarantula has a habitat of urban/old-world habitats.,0,433,animals
The leopard uses flying for locomotion.,0,434,animals
The hedgehog uses running for locomotion.,0,435,animals
The goat has the atomic number of bird.,0,436,animals
"Human uses for raccoon include meat, milk, cheese, leather.",0,437,animals
"The bat has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",0,438,animals
There are no specific human uses for snake.,0,439,animals
The squirrel has the atomic number of bird.,0,440,animals
The bison uses walking/swimming for locomotion.,0,441,animals
The pigeon has thick white fur for insulation and black skin to absorb heat.,0,442,animals
The zebra uses flying for locomotion.,0,443,animals
There are no specific human uses for ostrich.,0,444,animals
"Human uses for otter include tourism, research.",0,445,animals
"The eagle is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",0,446,animals
The gecko has a habitat of forest.,0,447,animals
The ostrich has a diet of omnivore.,0,448,animals
The panda has a powerful bite and can go without food for long periods of time.,0,449,animals
"The salmon has a hard exoskeleton, which it must molt to grow, and can live for over 50 years.",0,450,animals
"Human uses for slug include conservation, research, zoos.",0,451,animals
The ostrich is nocturnal and has large cheek pouches to store and transport food.,0,452,animals
The hamster has a diet of herbivore.,0,453,animals
The seagull has the atomic number of mammal.,0,454,animals
"The skunk has a pouch for carrying and nursing its young, called joeys.",0,455,animals
"The bison is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",0,456,animals
"Human uses for octopus include tourism, research, conservation.",0,457,animals
"Human uses for manta ray include pets, meat, fur.",0,458,animals
The gazelle has the atomic number of mollusk.,0,459,animals
The bison has a diet of carnivore.,0,460,animals
The otter uses walking for locomotion.,0,461,animals
The raccoon uses flying for locomotion.,0,462,animals
The tapir has the atomic number of bird.,0,463,animals
The camel uses flying for locomotion.,0,464,animals
The parrot has the atomic number of mammal.,0,465,animals
Human uses for chicken include food.,0,466,animals
The cheetah has a diet of varies.,0,467,animals
The vulture has a habitat of grassland.,0,468,animals
"The axolotl primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",0,469,animals
The hyena has the atomic number of bird.,0,470,animals
"Human uses for shark include research, conservation.",0,471,animals
"The moose has thick, luxurious wool and is a smaller relative of the llama.",0,472,animals
The giant anteater has a diet of carnivore.,0,473,animals
The pigeon uses walking/swimming for locomotion.,0,474,animals
The rhinoceros has a habitat of marine.,0,475,animals
The narwhal has a diet of herbivore.,0,476,animals
The moose uses walking/swimming for locomotion.,0,477,animals
The vulture uses jumping for locomotion.,0,478,animals
The lobster has a habitat of various.,0,479,animals
The lion has a diet of omnivore.,0,480,animals
The sea turtle has a diet of carnivore.,0,481,animals
The armadillo has a habitat of mountain bamboo forest.,0,482,animals
The giraffe has a diet of carnivore.,0,483,animals
The crocodile is flightless and has adapted flippers for swimming.,0,484,animals
The horse uses swimming for locomotion.,0,485,animals
The sparrow uses knuckle-walking for locomotion.,0,486,animals
"Human uses for vulture include work, tourism, conservation.",0,487,animals
The walrus has the atomic number of mollusk.,0,488,animals
"The shark has three hearts, nine brains, and can change color and texture for camouflage.",0,489,animals
The mongoose has the atomic number of bird.,0,490,animals
The gorilla has the atomic number of amphibian.,0,491,animals
The dolphin has a diet of omnivore.,0,492,animals
The porcupine is the largest primate and exhibits complex social behavior.,0,493,animals
"Human uses for bat include tourism, zoos.",0,494,animals
The armadillo uses swimming for locomotion.,0,495,animals
The chimpanzee has a habitat of mountain.,0,496,animals
The hamster has a powerful bite and can go without food for long periods of time.,0,497,animals
The snake has a diet of herbivore.,0,498,animals
"The deer has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",0,499,animals
"The gecko has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",0,500,animals
The porcupine has a habitat of marine.,0,501,animals
The cassowary has the atomic number of mammal.,0,502,animals
"Human uses for giraffe include pets, research.",0,503,animals
"Human uses for cat include research, conservation.",0,504,animals
Dow has headquarters in Italy.,0,505,companies
Tesla operates in the industry of Transportation.,0,506,companies
"Bristol Myers Squibb operates in the industry of Food, Drink & Tobacco.",0,507,companies
Enbridge operates in the industry of Insurance.,0,508,companies
LukOil has headquarters in China.,0,509,companies
AIA Group operates in the industry of Electricity & Gas.,0,510,companies
Lowe's engages in the provision of telecommunication services.,0,511,companies
"Roche Holding is a media, entertainment and communications company that engages in the provision of video, Internet and phone services.",0,512,companies
Thermo Fisher Scientific has headquarters in South Korea.,0,513,companies
"Intel is a holding company, which engages in steelmaking and mining activities.",0,514,companies
Bank of Nova Scotia has headquarters in Taiwan.,0,515,companies
Itau Unibanco Holding has headquarters in China.,0,516,companies
VINCI operates in the industry of Insurance.,0,517,companies
"Postal Savings Bank of China engages in the provision of life, annuity, accident, and health insurance.",0,518,companies
Vale engages in the provision of healthcare services.,0,519,companies
Itochu has headquarters in United States.,0,520,companies
Sberbank has headquarters in France.,0,521,companies
Dell Technologies operates in the industry of Media.,0,522,companies
Linde operates in the industry of Construction.,0,523,companies
Anthem engages in the provision of products and services that address all aspects of corporate information technology environments.,0,524,companies
Japan Post Holdings operates in the industry of Drugs & Biotechnology.,0,525,companies
Anglo American engages in the provision of healthcare services.,0,526,companies
China Petroleum & Chemical has headquarters in South Korea.,0,527,companies
China Merchants Bank engages in oil and natural gas production.,0,528,companies
"General Motors operates in the industry of Food, Drink & Tobacco.",0,529,companies
Munich Reinsurance has headquarters in United States.,0,530,companies
Sony operates in the industry of Banking.,0,531,companies
